location,population,total_pos_20200331
ירושלים,925890,650
תל אביב,456790,278
חיפה,285023,67
ראשון לציון,252869,103
פתח תקווה,246025,96
אשדוד,226175,81
נתניה,218401,83
באר שבע,213817,83
בני ברק,199230,571
חולון,195229,75
רמת גן,160192,81
אשקלון,143795,114
רחובות,143579,53
בת ים,130789,76
בית שמש,123113,76
כפר סבא,100921,36
חדרה,99870,20
הרצליה,96608,53
לוד,79760,37
נצרת,77867,3
רעננה,76233,57
רמלה,75832,25
מודיעין עילית,73632,48
רהט,69033,4
הוד השרון,62768,25
קרית גת,61019,22
ראש העין,60733,10
גבעתיים,60210,22
קרית אתא,59196,12
נהריה,59006,16
ביתר עילית,57267,38
עפולה,53883,34
אילת,51934,8
נס ציונה,50538,5
עכו,49607,6
יבנה,47982,18
אלעד,47866,68
רמת השרון,46884,28
כרמיאל,46306,7
קרית מוצקין,46166,5
טבריה,46146,32
טייבה,43128,2
שפרעם,41559,1
קרית ביאליק,40493,6
קרית אונו,40328,33
קרית ים,40136,13
נתיבות,38581,15
מעלה אדומים,38194,16
אור יהודה,36913,50
צפת,35717,19
דימונה,34536,15
טמרה,33851,11
סח'נין,31056,6
אופקים,30267,12
באר יעקב,29123,8
גדרה,28093,19
גבעת שמואל,27563,18
שדרות,26880,13
ערד,26451,9
כפר יונה,26351,12
מגדל העמק,25792,72
עראבה,25369,1
קרית מלאכי,25181,32
נשר,24761,4
יקנעם עילית,24270,10
טירת כרמל,24068,11
מבשרת ציון,23962,6
גן יבנה,23751,18
זכרון יעקב,23075,17
קלנסווה,22788,1
קרית שמונה,22622,6
מגאר,22609,4
כסיפה,21079,4
שוהם,20990,19
אריאל,20456,3
אור עקיבא,20425,2
גני תקווה,19682,17
גבעת זאב,19584,10
יפיע,18905,1
כפר קרע,18675,2
קרית טבעון,18121,2
מזכרת בתיה,14972,2
מעלה עירון,14833,2
אכסאל,14500,1
אבן יהודה,13700,18
אזור,13139,12
חריש,13113,2
תל מונד,12862,11
רכסים,12110,5
ג'ת,11799,2
אפרת,11193,52
צור הדסה,11148,4
קרית עקרון,10999,3
דבוריה,10403,4
דייר חנא,10345,5
ירוחם,9975,1
קרני שומרון,9590,4
מיתר,9483,1
עתלית,9071,2
אורנית,8807,1
כוכב יאיר,8772,7
אלפי מנשה,8553,3
כוכב יעקב,8194,16
צור יצחק,7903,3
בסמת טבעון,7835,2
קרית ארבע,7797,10
רמת ישי,7723,2
עומר,7586,8
אבו גוש,7543,1
קצרין,7381,5
בית דגן,7211,1
להבים,6350,3
שלומי,6350,3
חורפיש,6315,1
בית אל,6042,1
פרדסיה,5984,1
כפר ורדים,5579,1
קרית יערים,5565,30
גבע בנימין,5525,4
בת חפר,5342,1
מצפה רמון,5220,11
