date,total_critical
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,2
2020-03-13,3
2020-03-14,3
2020-03-15,3
2020-03-16,5
2020-03-17,6
2020-03-18,7
2020-03-19,7
2020-03-20,12
2020-03-21,17
2020-03-22,26
2020-03-23,31
2020-03-24,42
2020-03-25,46
2020-03-26,56
2020-03-27,63
2020-03-28,69
2020-03-29,81
2020-03-30,95
2020-03-31,117
2020-04-01,122
2020-04-02,149
2020-04-03,170
2020-04-04,178
2020-04-05,195
2020-04-06,215
2020-04-07,237
2020-04-08,255
2020-04-09,284
2020-04-10,301
2020-04-11,327
2020-04-12,331
2020-04-13,343
2020-04-14,351
2020-04-15,355
2020-04-16,367
2020-04-17,383
2020-04-18,389
2020-04-19,391
2020-04-20,395
2020-04-21,400
2020-04-22,409
2020-04-23,409
2020-04-24,410
2020-04-25,410
2020-04-26,412
2020-04-27,413
2020-04-28,413
